entity_id,state,last_changed
sensor.multisensor_raw_air_quality,305.4857,2025-09-11T19:12:01.273Z
sensor.multisensor_raw_air_quality,304.7347,2025-09-11T19:17:01.266Z
sensor.multisensor_raw_air_quality,300.1112,2025-09-11T19:22:01.283Z
sensor.multisensor_raw_air_quality,295.2735,2025-09-11T19:27:01.266Z
sensor.multisensor_raw_air_quality,293.3316,2025-09-11T19:32:01.283Z
sensor.multisensor_raw_air_quality,291.2122,2025-09-11T19:37:01.281Z
sensor.multisensor_raw_air_quality,292.348,2025-09-11T19:42:01.294Z
sensor.multisensor_raw_air_quality,295.548,2025-09-11T19:47:01.286Z
sensor.multisensor_raw_air_quality,300.7653,2025-09-11T19:52:01.293Z
sensor.multisensor_raw_air_quality,304.1051,2025-09-11T19:57:01.297Z
sensor.multisensor_raw_air_quality,307.0949,2025-09-11T20:02:01.401Z
sensor.multisensor_raw_air_quality,311.302,2025-09-11T20:07:01.284Z
sensor.multisensor_raw_air_quality,311.7714,2025-09-11T20:12:01.406Z
sensor.multisensor_raw_air_quality,312.2388,2025-09-11T20:17:01.303Z
sensor.multisensor_raw_air_quality,314.6582,2025-09-11T20:22:01.315Z
sensor.multisensor_raw_air_quality,314.202,2025-09-11T20:27:01.309Z
sensor.multisensor_raw_air_quality,312.9367,2025-09-11T20:32:01.345Z
sensor.multisensor_raw_air_quality,314.7724,2025-09-11T20:37:01.305Z
sensor.multisensor_raw_air_quality,314.6582,2025-09-11T20:42:01.554Z
sensor.multisensor_raw_air_quality,314.8857,2025-09-11T20:47:01.303Z
sensor.multisensor_raw_air_quality,315.451,2025-09-11T20:52:01.311Z
sensor.multisensor_raw_air_quality,316.2388,2025-09-11T20:57:01.309Z
sensor.multisensor_raw_air_quality,316.5735,2025-09-11T21:02:01.304Z
sensor.multisensor_raw_air_quality,316.1265,2025-09-11T21:07:01.318Z
sensor.multisensor_raw_air_quality,317.1296,2025-09-11T21:12:01.322Z
sensor.multisensor_raw_air_quality,316.35,2025-09-11T21:17:01.321Z
sensor.multisensor_raw_air_quality,313.5133,2025-09-11T21:22:01.318Z
sensor.multisensor_raw_air_quality,315.2255,2025-09-11T21:27:01.353Z
sensor.multisensor_raw_air_quality,314.0877,2025-09-11T21:32:01.332Z
sensor.multisensor_raw_air_quality,315.6765,2025-09-11T21:37:01.324Z
sensor.multisensor_raw_air_quality,314.6582,2025-09-11T21:42:01.329Z
sensor.multisensor_raw_air_quality,313.1673,2025-09-11T21:47:01.324Z
sensor.multisensor_raw_air_quality,314.202,2025-09-11T21:52:01.340Z
sensor.multisensor_raw_air_quality,313.1673,2025-09-11T21:57:01.338Z
sensor.multisensor_raw_air_quality,315.5643,2025-09-11T22:02:01.419Z
sensor.multisensor_raw_air_quality,314.7724,2025-09-11T22:07:01.333Z
